微博地址,发布时间,微博内容,点赞数,评论数,转发数,评论
https://m.weibo.cn/status/AaZBzDMd2?mblogid=AaZBzDMd2&luicode=10000011&lfid=1076032298955763,Tue Sep 24 23:38:55 +0800 2013,哇〜那么爱掌上链家,1,3,6,[]
https://m.weibo.cn/status/AaWVXBHqE?mblogid=AaWVXBHqE&luicode=10000011&lfid=1076032298955763,Tue Sep 24 16:50:57 +0800 2013,"【看房路漫漫始终相伴，掌上链家V4.0温暖上线】他们说，找房轻松。那是他们不懂光鲜梦想背后艰辛的脚步，但是你懂。幸好，掌上链家也懂。新版“掌上链家“Android、iPhone版今日正式上架各大市场！新增""房源动态提醒""""看房足迹”“相似客”等超酷功能哦~【点此立即下载】网页链接",1,7,22,[]
https://m.weibo.cn/status/AaK6yAZgc?mblogid=AaK6yAZgc&luicode=10000011&lfid=1076032298955763,Mon Sep 23 08:11:21 +0800 2013,小伙伴们，晒起来！ //@链家彭永东:谁保存着@链家在线 @掌上链家 历次版本的页面？,2,1,1,[]
https://m.weibo.cn/status/A6GtVbBtY?mblogid=A6GtVbBtY&luicode=10000011&lfid=1076032298955763,Tue Aug 27 15:36:40 +0800 2013,能预留两个大banner位给掌上链家不？,0,1,0,[]
https://m.weibo.cn/status/A3KpUdgf5?mblogid=A3KpUdgf5&luicode=10000011&lfid=1076032298955763,Thu Aug 08 08:06:53 +0800 2013,好吧，借着老徐的这条微博，悄悄透露下，4.0版掌上链家即将出世，将会革新当前所有房产类的客户端,0,0,1,[]
https://m.weibo.cn/status/zErBnmxzp?mblogid=zErBnmxzp&luicode=10000011&lfid=1076032298955763,Thu Jul 04 17:29:52 +0800 2013,多谢小翼的推荐~新版即将出世，将为客户带来更好的手机找房体验[呵呵],0,1,7,[]
https://m.weibo.cn/status/zClldbumj?mblogid=zClldbumj&luicode=10000011&lfid=1076032298955763,Thu Jun 20 21:52:58 +0800 2013,再次呼吁准备购买学区房的孩儿爹妈们，手机必备掌上链家啊,0,2,9,[]
https://m.weibo.cn/status/zBcLgu5xu?mblogid=zBcLgu5xu&luicode=10000011&lfid=1076032298955763,Thu Jun 13 10:12:08 +0800 2013,,2,1,4,[]
https://m.weibo.cn/status/zzYQsaO8G?mblogid=zzYQsaO8G&luicode=10000011&lfid=1076032298955763,Wed Jun 05 08:56:10 +0800 2013,一本书，一个梦 //@链家徐东华:每募集10000册图书，链家将在山区给娃们建一个爱心图书馆。当城里娃在用iPad感知缤纷世界时，对这些山里娃，或许一本书真的可以改变他们的命运。拜谢每一位到链家店面捐书的社区邻居们,0,0,2,[]
https://m.weibo.cn/status/zzR8T0f0R?mblogid=zzR8T0f0R&luicode=10000011&lfid=1076032298955763,Tue Jun 04 13:19:36 +0800 2013,可用“掌上链家”找最近链家门店，进去避雨，拿雨具[呵呵],0,0,0,[]
https://m.weibo.cn/status/zxT744fy9?mblogid=zxT744fy9&luicode=10000011&lfid=1076032298955763,Wed May 22 14:40:00 +0800 2013,回复@何俊麟: 嗯，我们努力的方向，用科技的手段给客户提供更好的服务体验 //@何俊麟:更加期待NFC的普及，未来的交互应该是双向的，客户扫描获取信息的同时，又能将需求反馈给链家，为精准营销，大数据做铺垫。 //@掌上链家:回复@第五才子: 嗯，我们正尝试几种不同的位置。兼顾美观和扫描方便性,0,1,7,[]
https://m.weibo.cn/status/zxSTCaS2J?mblogid=zxSTCaS2J&luicode=10000011&lfid=1076032298955763,Wed May 22 14:06:51 +0800 2013,回复@第五才子: 嗯，我们正尝试几种不同的位置。兼顾美观和扫描方便性 //@第五才子:调下位置和角度，否则不方便扫，扫的人不会多。,0,2,7,[]
https://m.weibo.cn/status/zxSNrf4fP?mblogid=zxSNrf4fP&luicode=10000011&lfid=1076032298955763,Wed May 22 13:51:39 +0800 2013,好建议//@刘宛岚: 最好通过实地观察来验证其有效性，比如找人在店铺外站一段时间，数一下有多少人经过，当中有多少人举头看这个二维码，又有多少人去扫它，看他扫完之后你可以过去问问感受。如果比例太低，就要考虑相关的运营投入是否值得。如果这个二维码灯箱只是为了增加门头的装饰性，那就无所谓,0,0,0,[]
https://m.weibo.cn/status/zxSGywFX8?mblogid=zxSGywFX8&luicode=10000011&lfid=1076032298955763,Wed May 22 13:34:41 +0800 2013,@互联网的那点事 @快拍二维码@王鹏飞 @品途网 @O2O朱刚 想了解专业人士的看法[呵呵],0,0,1,[]
https://m.weibo.cn/status/zxRYLwYVx?mblogid=zxRYLwYVx&luicode=10000011&lfid=1076032298955763,Wed May 22 11:46:48 +0800 2013,继房源贴、经纪人名片增加二维码后，链家的二维码体系又新增一位重量级成员——店面灯箱二维码！无论白天黑夜，只需轻松一扫，就能立即了解这家分店最新房源、店面所负责的小区介绍、价格走势等信息。还可以查看该店面的帅哥美女经纪人的专业级别。欢迎路过的您，扫一扫！@链家在线 @链家彭永东,11,88,188,"['职素真差', '9月1号和链家签的合同，说好9月底就能办网签，结果拖到今天告诉我我的资质审核过期了，还得重新申请审核，还得再等10多天才能网签，办个网签就拖了两个月的时间，你们链家凭什么收那么高的中介费！你们为客户提供了怎样的服务！', '经理辱骂诅咒客户，问候父母！整个流程态度恶劣，蛮横威胁。本想房子在他们手上忍气吞声把事情办完，没想到在交易中心被指着鼻子泼妇骂街，无赖扯皮！服务费高于同行，本就是冲着高质量的服务来的，没想到碰到这等没素质的泼妇！业务员一问三不知！哄抬房价，诱骗客户！@链家 @左晖', '我9月12号在链家上班！2天后入职，干了一个礼拜因为私事离职，竟然没工资！申请仲裁了！还是大企业呢！克扣工资也干！', '周五晚上坐火车去杭州，在路上无聊就看了链家app，跟上海链家一个叫唐家红的业务员在线聊了几句，跟业务员说有好房可以推荐下，业务员推荐一套天钥新村的房子面积34，价格215，业务员说房东置换急售，留了联系方式第二天跟业务员确认可以约到房东吗，可以约到就先抛开杭州的事情回上海看房订房，', '业务员很肯定的说可以，并且价格还能谈个五万下来，于是乎我就买上了回上海的票子看房，结果看完房子，中介说说房子是房东女儿的，房东女儿在国外，要下意向业务员却不给下说要周一拉下产调才能下，我说在内网看下业务员说是不能泄露信息不给看。', '当时我感觉我是被骗了，然后我就赶回杭州继续完成我未完成的事情等待他们周一拉产调，然后周一的时候我看到链家的app上上架了这套房子，面积是43，价格是305，我竟无语凝噎，好一个链家，好一个上海链家唐家红。我就这样被你们链家这个最大的房产公司给骗了。', '垃圾链家，早日倒闭！', '垃圾，让链家奇葩服务气的睡不着，请大家睁大眼睛，千万别再相信了']"
https://m.weibo.cn/status/zvM354cVQ?mblogid=zvM354cVQ&luicode=10000011&lfid=1076032298955763,Wed May 08 17:00:21 +0800 2013,#马上找房，马上领10元物美电子券#经过核实，以下图片为本次活动的获奖名单，10元物美电子券将于本周内以手机短信发送到获奖手机号中，感谢大家的积极参与。新一轮活动正在火热进行中咯，只需用注册成为“掌上链家“认证客户，就有机会获6万元家电大奖哦~，详情猛戳地址网页链接 @链家在线,0,1,2,[]
https://m.weibo.cn/status/zvgXn7qkv?mblogid=zvgXn7qkv&luicode=10000011&lfid=1076032298955763,Sun May 05 09:51:07 +0800 2013,记者就这么把我给拉进战场啦？,0,0,0,[]
